# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6102347960
#
# Overhead  Command   Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# ........  ........  .................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.06%  wasmtime  wasmtime           [.] <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::drop::Drop>::drop
     0.06%  wasmtime  wasmtime           [.] wiggle::validate_size_align::{{closure}}
     0.06%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow<B,C>::break_value
     0.06%  wasmtime  wasmtime           [.] <wasmtime::memory::Memory as core::clone::Clone>::clone
     0.06%  wasmtime  [kernel.kallsyms]  [k] generic_file_buffered_read
     0.06%  wasmtime  wasmtime           [.] core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
     0.06%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.06%  wasmtime  [kernel.kallsyms]  [k] find_get_entries
     0.05%  wasmtime  [kernel.kallsyms]  [k] memset_erms
     0.05%  wasmtime  [kernel.kallsyms]  [k] filemap_map_pages
     0.05%  wasmtime  wasmtime           [.] <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
     0.05%  wasmtime  [kernel.kallsyms]  [k] __getblk_gfp
     0.05%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.05%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     0.05%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::new_uninitialized
     0.05%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::collect
     0.05%  wasmtime  wasmtime           [.] core::any::TypeId::of
     0.05%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::InstanceHandle::from_vmctx
     0.05%  wasmtime  [kernel.kallsyms]  [k] __x64_sys_writev
     0.05%  wasmtime  wasmtime           [.] <T as core::convert::Into<U>>::into
     0.05%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S,A>::get
     0.05%  wasmtime  [kernel.kallsyms]  [k] ext4_nonda_switch
     0.05%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::mem
     0.05%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTable<T,A>::find
     0.05%  wasmtime  wasmtime           [.] <T as system_interface::io::io_ext::IoExt>::write_vectored
     0.05%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S>::with_hasher
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::vec::set_len_on_drop::SetLenOnDrop>
     0.05%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S,A>::remove_entry
     0.05%  wasmtime  wasmtime           [.] <std::os::fd::owned::OwnedFd as core::convert::From<std::fs::File>>::from
     0.05%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::try_fold
     0.05%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::try_fold
     0.05%  wasmtime  wasmtime           [.] <wasmtime_runtime::export::ExportMemory as wasmtime::store::data::StoredData>::list
     0.05%  wasmtime  [kernel.kallsyms]  [k] __set_page_dirty
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::boxed::Box<wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker<wasmtime_cli::commands::run::Host,wasi_common::ctx::WasiCtx,wasmtime_cli::commands::run::populate_with_wasi::{{closure}}>::{{closure}}::{{closure}}>>
     0.05%  wasmtime  [JIT] tid 3051082  [.] 0x00007fa389b8bf69
     0.05%  wasmtime  wasmtime           [.] <core::result::Result<T,anyhow::Error> as wasmtime::func::WasmRet>::compatible_with_store
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<wiggle::GuestPtr<[u8]>,alloc::alloc::Global>>
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<[wiggle::GuestSliceMut<u8>]>
     0.05%  wasmtime  wasmtime           [.] <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
     0.05%  wasmtime  wasmtime           [.] <std::os::fd::owned::OwnedFd as std::os::fd::raw::IntoRawFd>::into_raw_fd
     0.05%  wasmtime  [kernel.kallsyms]  [k] __es_insert_extent
     0.05%  wasmtime  wasmtime           [.] <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     0.05%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::FromResidual>::from_residual
     0.05%  wasmtime  wasmtime           [.] core::future::identity_future
     0.05%  wasmtime  wasmtime           [.] core::result::Result<T,E>::unwrap
     0.05%  wasmtime  wasmtime           [.] <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     0.05%  wasmtime  wasmtime           [.] <core::task::wake::Waker as core::ops::drop::Drop>::drop
     0.05%  wasmtime  wasmtime           [.] <alloc::boxed::Box<T,A> as core::ops::deref::DerefMut>::deref_mut
     0.05%  wasmtime  wasmtime           [.] <dyn core::any::Any+core::marker::Send+core::marker::Sync>::is
     0.05%  wasmtime  wasmtime           [.] core::result::Result<T,E>::map_err
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wiggle::wasmtime::WasmtimeGuestMemory>
     0.05%  wasmtime  wasmtime           [.] <core::option::Option<T> as core::ops::try_trait::Try>::branch
     0.05%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     0.05%  wasmtime  wasmtime           [.] <wiggle::GuestCow<T> as core::ops::deref::Deref>::deref
     0.05%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::fold
     0.05%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<tracing::instrument::Instrumented<wasi_common::snapshots::preview_1::wasi_snapshot_preview1::fd_write<wasi_common::ctx::WasiCtx>::{{closure}}>>
     0.05%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::size_hint
     0.05%  wasmtime  wasmtime           [.] <core::result::Result<V,E> as core::iter::traits::collect::FromIterator<core::result::Result<A,E>>>::from_iter::{{closure}}
     0.05%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::free_buckets
     0.05%  wasmtime  wasmtime           [.] core::sync::atomic::AtomicUsize::load
     0.05%  wasmtime  wasmtime           [.] <wasmtime_types::Memory as core::clone::Clone>::clone
     0.05%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.05%  wasmtime  wasmtime           [.] std::panicking::panic_count::count_is_zero
     0.05%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S,A>::len
     0.05%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     0.05%  wasmtime  wasmtime           [.] <wiggle::wasmtime::WasmtimeGuestMemory as wiggle::GuestMemory>::mut_unborrow
     0.05%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::read
     0.05%  wasmtime  wasmtime           [.] std::io::IoSliceMut::new
     0.05%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::cast
     0.05%  wasmtime  wasmtime           [.] core::convert::num::<impl core::convert::TryFrom<u64> for u32>::try_from
     0.05%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
     0.05%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_load
     0.05%  wasmtime  [kernel.kallsyms]  [k] ext4_file_read_iter
     0.05%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::raw_vec::RawVec<wiggle::GuestSliceMut<u8>>>
     0.05%  wasmtime  [kernel.kallsyms]  [k] copyout
     0.05%  wasmtime  [kernel.kallsyms]  [k] __inc_numa_state
     0.05%  wasmtime  wasmtime           [.] <T as core::option::SpecOptionPartialEq>::eq
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::option::Option<core::result::Result<u32,wasi_common::snapshots::preview_1::types::Error>>>
     0.05%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::write
     0.05%  wasmtime  wasmtime           [.] std::collections::hash::map::HashMap<K,V,S>::values
     0.05%  wasmtime  wasmtime           [.] core::future::identity_future
     0.05%  wasmtime  wasmtime           [.] core::hash::impls::<impl core::hash::Hash for str>::hash
     0.05%  wasmtime  [kernel.kallsyms]  [k] fput_many
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker<wasmtime_cli::commands::run::Host,wasi_common::ctx::WasiCtx,wasmtime_cli::commands::run::populate_with_wasi::{{closure}}>::{{closure}}::{{closure}}>
     0.05%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S,A>::get_inner
     0.05%  wasmtime  wasmtime           [.] <core::panic::unwind_safe::AssertUnwindSafe<F> as core::ops::function::FnOnce<()>>::call_once
     0.05%  wasmtime  wasmtime           [.] <u32 as core::iter::range::Step>::forward_unchecked
     0.05%  wasmtime  [kernel.kallsyms]  [k] policy_node
     0.05%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::PartialOrd for u32>::lt
     0.05%  wasmtime  [kernel.kallsyms]  [k] mem_cgroup_track_foreign_dirty_slowpath
     0.05%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::drop_elements
     0.05%  wasmtime  [kernel.kallsyms]  [k] jbd2__journal_start
     0.05%  wasmtime  wasmtime           [.] core::ptr::const_ptr::<impl *const T>::sub_ptr
     0.05%  wasmtime  wasmtime           [.] core::ptr::const_ptr::<impl *const T>::is_null
     0.05%  wasmtime  [kernel.kallsyms]  [k] iov_iter_copy_from_user_atomic
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::iter::adapters::map::map_fold<&mut wiggle::GuestSliceMut<u8>,std::io::IoSliceMut,(),wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}::{{closure}},core::iter::traits::iterator::Iterator::for_each::call<std::io::IoSliceMut,alloc::vec::Vec<std::io::IoSliceMut>::extend_trusted<core::iter::adapters::map::Map<core::slice::iter::IterMut<wiggle::GuestSliceMut<u8>>,wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}::{{closure}}>>::{{closure}}>::{{closure}}>::{{closure}}>
     0.05%  wasmtime  [kernel.kallsyms]  [k] dput
     0.05%  wasmtime  wasmtime           [.] <usize as core::slice::index::SliceIndex<[T]>>::index
     0.05%  wasmtime  wasmtime           [.] <core::option::Option<T> as core::ops::try_trait::Try>::branch
     0.05%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     0.05%  wasmtime  wasmtime           [.] malloc@plt
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}>
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::result::Result<(),anyhow::Error>>
     0.05%  wasmtime  wasmtime           [.] core::slice::iter::Iter<T>::new
     0.05%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
     0.05%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_movemask_epi8
     0.05%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_try_fold::{{closure}}
     0.05%  wasmtime  wasmtime           [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.05%  wasmtime  wasmtime           [.] <wasi_common::snapshots::preview_1::types::Iovec as wiggle::guest_type::GuestType>::read
     0.05%  wasmtime  [kernel.kallsyms]  [k] __page_cache_alloc
     0.05%  wasmtime  wasmtime           [.] <core::iter::adapters::zip::Zip<A,B> as core::iter::traits::iterator::Iterator>::next
     0.05%  wasmtime  wasmtime           [.] alloc::vec::in_place_collect::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
     0.05%  wasmtime  wasmtime           [.] <alloc::alloc::Global as core::alloc::Allocator>::deallocate
     0.05%  wasmtime  wasmtime           [.] std::thread::local::LocalKey<T>::try_with
     0.05%  wasmtime  wasmtime           [.] alloc::boxed::Box<T,A>::into_pin
     0.05%  wasmtime  wasmtime           [.] __rust_alloc
     0.05%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::allocate_in
     0.05%  wasmtime  [kernel.kallsyms]  [k] __ext4_handle_dirty_metadata
     0.05%  wasmtime  wasmtime           [.] <dyn core::any::Any>::downcast_ref
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::raw_vec::RawVec<wiggle::GuestPtr<[u8]>>>
     0.05%  wasmtime  [kernel.kallsyms]  [k] _copy_from_user
     0.05%  wasmtime  wasmtime           [.] core::future::identity_future
     0.05%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::allocate_in
     0.05%  wasmtime  wasmtime           [.] core::result::Result<T,E>::map_err
     0.05%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker<wasmtime_cli::commands::run::Host,wasi_common::ctx::WasiCtx,wasmtime_cli::commands::run::populate_with_wasi::{{closure}}>::{{closure}}::{{closure}}>
     0.05%  wasmtime  [kernel.kallsyms]  [k] __lru_cache_add
     0.05%  wasmtime  wasmtime           [.] <T as core::any::Any>::type_id
     0.05%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow<B,C>::break_value
     0.05%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::split_at
     0.05%  wasmtime  wasmtime           [.] <core::ptr::non_null::NonNull<T> as core::convert::From<core::ptr::unique::Unique<T>>>::from
     0.05%  wasmtime  [kernel.kallsyms]  [k] cshook_systemcalltable_pre_readv
     0.05%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.05%  wasmtime  wasmtime           [.] hashbrown::raw::capacity_to_buckets
     0.05%  wasmtime  wasmtime           [.] alloc::boxed::Box<T,A>::into_pin
     0.05%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wiggle::guest_type::GuestErrorType for wasi_common::snapshots::preview_1::types::Errno>::success
     0.05%  wasmtime  wasmtime           [.] <core::core_arch::x86::__m128i as core::core_arch::x86::m128iExt>::as_m128i
     0.05%  wasmtime  wasmtime           [.] wiggle::UnsafeGuestSlice<T>::mut_borrow
     0.05%  wasmtime  [kernel.kallsyms]  [k] rw_copy_check_uvector
     0.05%  wasmtime  [kernel.kallsyms]  [k] delete_from_page_cache_batch
     0.05%  wasmtime  [kernel.kallsyms]  [k] unaccount_page_cache_page
     0.04%  wasmtime  wasmtime           [.] core::ptr::const_ptr::<impl *const T>::is_null
     0.04%  wasmtime  [kernel.kallsyms]  [k] mpage_map_and_submit_buffers
     0.04%  wasmtime  [kernel.kallsyms]  [k] page_mapping
     0.04%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_sub
     0.04%  wasmtime  [kernel.kallsyms]  [k] add_transaction_credits
     0.04%  wasmtime  [kernel.kallsyms]  [k] inc_zone_page_state
     0.04%  wasmtime  wasmtime           [.] core::iter::adapters::map::Map<I,F>::new
     0.04%  wasmtime  wasmtime           [.] tracing::instrument::Instrument::instrument
     0.04%  wasmtime  [kernel.kallsyms]  [k] path_get
     0.04%  wasmtime  wasmtime           [.] <F as core::future::into_future::IntoFuture>::into_future
     0.04%  wasmtime  [kernel.kallsyms]  [k] __find_get_block
     0.04%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_write::{{closure}}>
     0.04%  wasmtime  wasmtime           [.] <indexmap::map::core::IndexMapCore<K,V> as indexmap::Entries>::as_entries
     0.04%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::cast
     0.04%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::reserve
     0.04%  wasmtime  wasmtime           [.] alloc::vec::Vec<T,A>::extend_desugared
     0.04%  wasmtime  [kernel.kallsyms]  [k] rb_next
     0.04%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     0.04%  wasmtime  wasmtime           [.] wasmtime::store::data::Stored<T>::index
     0.04%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow::Break
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     0.04%  wasmtime  wasmtime           [.] core::num::<impl u32>::checked_add
     0.04%  wasmtime  wasmtime           [.] <I as core::iter::traits::collect::IntoIterator>::into_iter
     0.04%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::get
     0.04%  wasmtime  wasmtime           [.] core::option::Option<T>::and_then
     0.04%  wasmtime  wasmtime           [.] std::sync::poison::Flag::borrow
     0.04%  wasmtime  wasmtime           [.] <wiggle::wasmtime::WasmtimeGuestMemory as wiggle::GuestMemory>::is_shared_memory
     0.04%  wasmtime  wasmtime           [.] alloc::alloc::exchange_malloc
     0.04%  wasmtime  wasmtime           [.] core::result::Result<T,E>::expect
     0.04%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::into_try
     0.04%  wasmtime  wasmtime           [.] hashbrown::raw::sse2::Group::match_byte
     0.04%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_loadu_si128
     0.04%  wasmtime  [kernel.kallsyms]  [k] vfs_writev
     0.04%  wasmtime  wasmtime           [.] <alloc::boxed::Box<T,A> as core::ops::deref::DerefMut>::deref_mut
     0.04%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<u32,wasi_common::snapshots::preview_1::types::Error>+core::marker::Send>>
     0.04%  wasmtime  wasmtime           [.] std::sync::poison::map_result
     0.04%  wasmtime  wasmtime           [.] wasmtime::store::<impl wasmtime::store::context::StoreContextMut<T>>::data_mut
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.04%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<u64,wasi_common::snapshots::preview_1::types::Error>+core::marker::Send>>>
     0.04%  wasmtime  wasmtime           [.] <core::core_arch::x86::__m128i as core::core_arch::x86::m128iExt>::as_m128i
     0.04%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::types::<impl core::convert::From<wasi_common::snapshots::preview_1::types::Fd> for u32>::from
     0.04%  wasmtime  wasmtime           [.] core::hash::impls::<impl core::hash::Hash for u32>::hash
     0.04%  wasmtime  [kernel.kallsyms]  [k] current_time
     0.04%  wasmtime  wasmtime           [.] core::mem::manually_drop::ManuallyDrop<T>::take
     0.04%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_sub
     0.04%  wasmtime  wasmtime           [.] std::collections::hash::map::HashMap<K,V,S>::iter
     0.04%  wasmtime  wasmtime           [.] wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker::{{closure}}
     0.04%  wasmtime  [kernel.kallsyms]  [k] wait_for_stable_page
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
     0.04%  wasmtime  wasmtime           [.] core::num::<impl u32>::checked_mul
     0.04%  wasmtime  wasmtime           [.] <std::sync::rwlock::RwLockReadGuard<T> as core::ops::drop::Drop>::drop
     0.04%  wasmtime  wasmtime           [.] std::os::fd::owned::<impl core::convert::From<std::os::fd::owned::OwnedFd> for std::fs::File>::from
     0.04%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_write
     0.04%  wasmtime  wasmtime           [.] tracing_core::field::ValueSet::is_empty::{{closure}}
     0.04%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     0.04%  wasmtime  [kernel.kallsyms]  [k] ktime_get_coarse_real_ts64
     0.04%  wasmtime  wasmtime           [.] tracing_core::span::Record::new
     0.04%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::into_try
     0.04%  wasmtime  wasmtime           [.] core::result::Result<T,E>::unwrap
     0.04%  wasmtime  wasmtime           [.] indexmap::map::core::equivalent::{{closure}}
     0.04%  wasmtime  wasmtime           [.] <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     0.04%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
     0.04%  wasmtime  wasmtime           [.] core::option::Option<T>::ok_or_else
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.04%  wasmtime  wasmtime           [.] tracing_core::field::ValueSet::is_empty
     0.04%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::as_array
     0.04%  wasmtime  [kernel.kallsyms]  [k] __es_tree_search.isra.0
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<V,E> as core::iter::traits::collect::FromIterator<core::result::Result<A,E>>>::from_iter
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     0.04%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::PartialEq for usize>::eq
     0.04%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::new
     0.04%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::needs_to_grow
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     0.04%  wasmtime  wasmtime           [.] <alloc::sync::Arc<T> as core::clone::Clone>::clone
     0.04%  wasmtime  wasmtime           [.] core::ops::function::FnOnce::call_once
     0.04%  wasmtime  wasmtime           [.] <i32 as wasmtime::func::typed::WasmTy>::from_abi
     0.04%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::from_try
     0.04%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::iter
     0.04%  wasmtime  [kernel.kallsyms]  [k] should_failslab
     0.04%  wasmtime  [kernel.kallsyms]  [k] __fget_light
     0.04%  wasmtime  wasmtime           [.] core::cmp::PartialEq::ne
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     0.04%  wasmtime  wasmtime           [.] indexmap::map::IndexMap<K,V,S>::is_empty
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.04%  wasmtime  wasmtime           [.] alloc::vec::Vec<T,A>::reserve
     0.04%  wasmtime  wasmtime           [.] core::iter::adapters::map::Map<I,F>::new
     0.04%  wasmtime  wasmtime           [.] core::iter::adapters::map::Map<I,F>::new
     0.04%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::iter::adapters::map::Map<alloc::vec::into_iter::IntoIter<wiggle::GuestPtr<[u8]>>,wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}::{{closure}}>>
     0.04%  wasmtime  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.04%  wasmtime  [kernel.kallsyms]  [k] alloc_pages_current
     0.04%  wasmtime  [kernel.kallsyms]  [k] mark_buffer_dirty
     0.04%  wasmtime  [kernel.kallsyms]  [k] mutex_lock
     0.04%  wasmtime  wasmtime           [.] core::slice::iter::Iter<T>::new
     0.04%  wasmtime  wasmtime           [.] hashbrown::raw::Bucket<T>::read
     0.04%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_try_fold
     0.04%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::is_shared_memory
     0.04%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
     0.04%  wasmtime  wasmtime           [.] core::slice::raw::from_raw_parts
     0.04%  wasmtime  [kernel.kallsyms]  [k] ext4_es_insert_delayed_block
     0.04%  wasmtime  wasmtime           [.] core::ptr::non_null::NonNull<T>::new
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.04%  wasmtime  [kernel.kallsyms]  [k] ext4_dirty_inode
     0.04%  wasmtime  wasmtime           [.] core::option::Option<T>::map
     0.04%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::PartialEq for u32>::eq
     0.04%  wasmtime  wasmtime           [.] tracing_core::field::FieldSet::len
     0.04%  wasmtime  wasmtime           [.] alloc::vec::Vec<T,A>::extend_trusted::{{closure}}
     0.04%  wasmtime  wasmtime           [.] core::slice::raw::from_raw_parts_mut
     0.04%  wasmtime  wasmtime           [.] <u8 as wiggle::guest_type::GuestType>::guest_size
     0.04%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::vec::Vec<wiggle::GuestCow<u8>>>
     0.04%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_try_fold::{{closure}}
     0.04%  wasmtime  [kernel.kallsyms]  [k] __sb_end_write
     0.04%  wasmtime  [kernel.kallsyms]  [k] check_stack_object
     0.04%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_cmpeq_epi8
     0.04%  wasmtime  [kernel.kallsyms]  [k] apparmor_file_permission
     0.04%  wasmtime  wasmtime           [.] std::sync::poison::Flag::done
     0.04%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     0.04%  wasmtime  wasmtime           [.] core::ops::control_flow::ControlFlow::Break
     0.04%  wasmtime  [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.04%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<hashbrown::scopeguard::ScopeGuard<hashbrown::raw::RawTableInner<alloc::alloc::Global>,hashbrown::raw::RawTableInner<alloc::alloc::Global>::prepare_resize::{{closure}}>>
     0.04%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S,A>::remove
     0.04%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.04%  wasmtime  wasmtime           [.] hashbrown::map::make_hash
